2024-05-04 20:04:11.9143 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-04 20:04:18.9358 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-04 20:10:49.3994 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-04 20:16:29.6373 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-05 12:24:28.5395 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 12:25:26.6348 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-05 12:25:26.7364 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-05 12:25:28.2216 | INFO | ProjectTwo.YourCollections | The YourCollections form was loaded
2024-05-05 12:25:29.7914 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-05 12:25:29.9154 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-05 12:25:29.9281 | INFO | Bars.Podborki | User tried to load Podborki form
2024-05-05 12:25:29.9281 | INFO | Bars.Podborki | The Podborki form was loaded
2024-05-05 12:25:32.3358 | INFO | ProjectTwo.YourCollections | User clicked favs button and Podborki form was opened
2024-05-05 12:25:32.3358 | INFO | Project2.Choosing1 | User opened next YourCollections form and click to yours button
2024-05-05 12:25:32.3870 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-05 12:25:32.3932 | INFO | DZ.Cafe | The start button to open the next form was clicked
2024-05-05 18:19:14.0185 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 18:19:38.4059 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-05 19:17:22.7682 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 19:20:28.2256 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 19:23:31.7392 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 19:28:40.3262 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 19:30:13.7511 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 19:32:50.6391 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 20:23:20.9002 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 20:26:47.0072 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 20:36:25.5543 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 20:44:35.2858 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 20:48:32.4735 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-05 20:48:46.4551 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-06 10:49:27.2799 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-06 10:51:42.9076 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-06 10:51:47.7477 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-06 10:51:47.8413 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-06 10:51:49.5782 | INFO | Project2.Choosing1 | The image was loaded
2024-05-06 10:51:49.5782 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-06 10:51:50.8194 | INFO | Project2.Choosing1 | The image was loaded
2024-05-06 10:51:50.8194 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-06 10:51:53.4918 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-06 11:18:18.9976 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-06 11:18:23.0657 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-06 11:18:23.2438 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-06 11:18:28.9779 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-06 11:32:17.7662 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-06 11:32:42.2095 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-06 11:32:42.3118 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-06 11:32:53.5455 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-07 15:32:27.0012 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-07 15:41:34.0469 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-07 15:42:08.4931 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-07 15:42:08.5918 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-07 15:42:13.5994 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-07 16:04:18.5784 | INFO | DZ.Cafe | The Cafe form was opened
